controller,scenario,split,seed,success,simulation_success,failure_reason,survived_time,theta_rms_deg,max_abs_theta_deg,max_abs_theta_rad,theta_itae,attitude_settling_time,position_itae,final_abs_position_error,position_settling_time,position_overshoot,position_drift,control_energy,saturation_time,saturation_ratio,disturbance_recovery_time,controller_runtime_seconds,mean_step_runtime_us,simulation_runtime_seconds,controller_evaluation_count,controller_completed_count
FUZZY_PID,S3_torque_impulse,test,2026,1,1,,10,2.21276806690149,10.0091215968142,0.17469212709688,0.668943001006817,4.916,2.20360490270115,0.000481021725648678,4.76,0.234159052881768,0.500481021725649,0.20197032700183,0.0200000000000001,0.001999800019998,1.301,0.0587369000000001,58.6782217782219,0.1432511,1001,1001
FUZZY_PID,S5_constant_bias,test,2026,1,1,,10,1.39497814061893,8.89076766285035,0.15517316874658,0.183933838945937,2.49,1.90874030428716,0.0270532948737079,1.548,0.00016855153076778,0.472946705126292,0.110254180952861,0.0200000000000001,0.001999800019998,0,0.0597035,59.6438561438561,0.1463796,1001,1001
LQR,S1_initial_tilt_3deg,test,2026,1,1,,10,0.190037690917664,3,0.0523598775598299,0.00639281073965484,0.031,0.0639911129938979,4.18906371741147e-06,0,0,4.18906371741147e-06,0.0163817887467661,0.0095,0.000999900009999,0,0.0133371,13.3237762237762,0.1128861,1001,1001
LQR,S1_initial_tilt_6deg,test,2026,1,1,,10,0.423956913738551,6,0.10471975511966,0.0143608853561886,0.071,0.142257643502733,9.21022040406631e-06,1.128,0,9.21022040406631e-06,0.0352636212422265,0.0295,0.002999700029997,0,0.0130531,13.0400599400599,0.0933605,1001,1001
LQR,S1_initial_tilt_9deg,test,2026,1,1,,10,0.699323830281103,9,0.15707963267949,0.0242324159469468,0.094,0.237557717366593,1.52175712770316e-05,1.86,0,1.52175712770316e-05,0.0597735309923854,0.0495,0.004999500049995,0,0.0124927,12.4802197802198,0.0917627,1001,1001
LQR,S1_initial_tilt_12deg,test,2026,1,1,,10,1.0198223639349,12,0.20943951023932,0.0365482771530691,0.387,0.354481264271215,2.24666481541048e-05,2.273,0,2.24666481541048e-05,0.0870996681483252,0.0595,0.005999400059994,0,0.0124222,12.4097902097902,0.0907385,1001,1001
LQR,S2_position_step_0p25m,test,2026,1,1,,10,0.315772632878288,1.54723364337507,0.0270043213745227,0.0620629226232083,0,0.738155527112671,4.64569974404916e-05,2.115,0.00348212744475862,0.24995354300256,0.0118957172569303,0.0100000000000001,0.000999900009999,0,0.0127631,12.7503496503497,0.0919175,1001,1001
LQR,S2_position_step_0p75m,test,2026,1,1,,10,0.945084038793198,4.63394807829729,0.0808776513327517,0.186709010269709,1.546,2.22970463496909,0.000139400631234632,2.782,0.010443419854542,0.749860599368765,0.0375297989816239,0.0200000000000001,0.001999800019998,0,0.0127128,12.7000999000999,0.0916621,1001,1001
LQR,S2_position_step_1p0m,test,2026,1,1,,10,1.25788482301788,6.17146101374052,0.107712314348239,0.249110068329961,1.631,2.98000290926053,0.000185852392246222,2.917,0.0139212881394544,0.999814147607754,0.0541060871446298,0.03,0.002999700029997,0,0.012489,12.4765234765235,0.0910215,1001,1001
LQR,S2_saturation_stress,test,2026,1,1,,10,1.24144643991167,8,0.139626340159546,0.176308892836366,1.098,2.14559641284496,0.000142561650447015,2.973,0.0117133769141022,0.999857438349553,0.258824128313337,0.0695,0.006999300069993,1.704,0.0125949,12.5823176823177,0.091762,1001,1001
